"ARI" ""
"result.1" 0 1
"result.2" 0 1
"result.3" 0.595634666961341 2
"result.4" 0 1
"result.5" 0 1
"result.6" 0.567335483534917 2
"result.7" 0 1
"result.8" 0 1
"result.9" 0 1
"result.10" 0 1
"result.11" 0 1
"result.12" 0 1
"result.13" 0 1
"result.14" 0 1
"result.15" 0 1
"result.16" 0.593456658571028 2
"result.17" 0 1
"result.18" 0 1
"result.19" 0 1
"result.20" 0 1
"result.21" 0 1
"result.22" 0.615418166752704 2
"result.23" 0 1
"result.24" 0 1
"result.25" 0 1
"result.26" 0 1
"result.27" 0 1
"result.28" 0 1
"result.29" 0 1
"result.30" 0 1
"result.31" 0 1
"result.32" 0 1
"result.33" 0 1
"result.34" 0.634011730139027 2
"result.35" 0.639607968762235 2
"result.36" 0 1
"result.37" 0.582429893694331 2
"result.38" 0 1
"result.39" 0 1
"result.40" 0 1
"result.41" 0 1
"result.42" 0 1
"result.43" 0 1
"result.44" 0 1
"result.45" 0.581227429199639 2
"result.46" 0 1
"result.47" 0 1
"result.48" 0.520513634996779 2
"result.49" 0 1
"result.50" 0 1
